growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	[_'_c_e_l_l___r_u_l_e_'_,_ _'_1_'_,_ _'_5_'_]	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
-4.406015e-01	1.419285e+02	5.397680e+02	7.799363e+02	3.069391e+01	9.771581e-04	1.765179e+00	3.714621e+00
-2.152483e-01	1.529740e+02	5.397680e+02	7.799363e+02	6.468849e+01	5.171496e-04	1.765179e+00	3.714621e+00
-4.406015e-01	1.419285e+02	5.397680e+02	7.799363e+02	6.468849e+01	9.771581e-04	2.719565e+00	3.714621e+00
-2.269884e-01	1.523968e+02	5.397680e+02	7.799363e+02	6.468849e+01	9.771581e-04	1.765179e+00	2.874450e+00
-1.114638e-01	1.580595e+02	5.397680e+02	7.381662e+02	3.069391e+01	5.171496e-04	2.719565e+00	2.874450e+00
-1.114638e-01	1.580595e+02	8.307272e+02	7.799363e+02	3.069391e+01	5.171496e-04	2.719565e+00	2.874450e+00
-1.114638e-01	1.580595e+02	8.307272e+02	7.381662e+02	6.468849e+01	5.171496e-04	2.719565e+00	2.874450e+00
-2.269884e-01	1.523968e+02	8.307272e+02	7.381662e+02	3.069391e+01	9.771581e-04	2.719565e+00	2.874450e+00
-1.114638e-01	1.580595e+02	8.307272e+02	7.381662e+02	3.069391e+01	5.171496e-04	1.765179e+00	2.874450e+00
-2.152483e-01	1.529740e+02	8.307272e+02	7.381662e+02	3.069391e+01	5.171496e-04	2.719565e+00	3.714621e+00
-1.114638e-01	1.580595e+02	8.307272e+02	7.381662e+02	3.069391e+01	5.171496e-04	2.719565e+00	2.874450e+00
-3.010222e-01	1.487711e+02	7.327497e+02	1.125405e+03	9.138308e+01	8.134242e-04	1.294701e+00	2.839970e+00
-3.010222e-01	1.487711e+02	1.090974e+02	1.125405e+03	9.138308e+01	8.134242e-04	1.294701e+00	2.839970e+00
-3.010222e-01	1.487711e+02	7.327497e+02	1.373289e+03	9.138308e+01	8.134242e-04	1.294701e+00	2.839970e+00
-3.010222e-01	1.487711e+02	7.327497e+02	1.125405e+03	8.853308e+01	8.134242e-04	1.294701e+00	2.839970e+00
-6.832833e-03	1.631864e+02	7.327497e+02	1.125405e+03	9.138308e+01	3.139132e-04	1.294701e+00	2.839970e+00
-3.010222e-01	1.487711e+02	7.327497e+02	1.125405e+03	9.138308e+01	8.134242e-04	1.049607e-01	2.839970e+00
-1.931728e-01	1.540557e+02	7.327497e+02	1.125405e+03	9.138308e+01	8.134242e-04	1.294701e+00	2.222142e+00
-1.243295e-02	1.629120e+02	7.327497e+02	1.373289e+03	8.853308e+01	3.139132e-04	1.049607e-01	2.222142e+00
-1.243295e-02	1.629120e+02	1.090974e+02	1.125405e+03	8.853308e+01	3.139132e-04	1.049607e-01	2.222142e+00
-1.243295e-02	1.629120e+02	1.090974e+02	1.373289e+03	9.138308e+01	3.139132e-04	1.049607e-01	2.222142e+00
-1.931728e-01	1.540557e+02	1.090974e+02	1.373289e+03	8.853308e+01	8.134242e-04	1.049607e-01	2.222142e+00
-1.243295e-02	1.629120e+02	1.090974e+02	1.373289e+03	8.853308e+01	3.139132e-04	1.294701e+00	2.222142e+00
-6.832833e-03	1.631864e+02	1.090974e+02	1.373289e+03	8.853308e+01	3.139132e-04	1.049607e-01	2.839970e+00
-1.243295e-02	1.629120e+02	1.090974e+02	1.373289e+03	8.853308e+01	3.139132e-04	1.049607e-01	2.222142e+00
1.006805e-01	1.684545e+02	1.391788e+02	9.125607e+02	3.776026e+01	1.233551e-04	3.937026e+00	7.855767e-01
1.006805e-01	1.684545e+02	8.994283e+02	9.125607e+02	3.776026e+01	1.233551e-04	3.937026e+00	7.855767e-01
1.006805e-01	1.684545e+02	1.391788e+02	6.163513e+02	3.776026e+01	1.233551e-04	3.937026e+00	7.855767e-01
1.006805e-01	1.684545e+02	1.391788e+02	9.125607e+02	4.623580e+01	1.233551e-04	3.937026e+00	7.855767e-01
9.134859e-03	1.639688e+02	1.391788e+02	9.125607e+02	3.776026e+01	8.776783e-04	3.937026e+00	7.855767e-01
1.006805e-01	1.684545e+02	1.391788e+02	9.125607e+02	3.776026e+01	1.233551e-04	2.472461e+00	7.855767e-01
1.006805e-01	1.684545e+02	1.391788e+02	9.125607e+02	3.776026e+01	1.233551e-04	3.937026e+00	1.334829e+00
9.134859e-03	1.639688e+02	1.391788e+02	6.163513e+02	4.623580e+01	8.776783e-04	2.472461e+00	1.334829e+00
9.134859e-03	1.639688e+02	8.994283e+02	9.125607e+02	4.623580e+01	8.776783e-04	2.472461e+00	1.334829e+00
9.134859e-03	1.639688e+02	8.994283e+02	6.163513e+02	3.776026e+01	8.776783e-04	2.472461e+00	1.334829e+00
1.006805e-01	1.684545e+02	8.994283e+02	6.163513e+02	4.623580e+01	1.233551e-04	2.472461e+00	1.334829e+00
9.134859e-03	1.639688e+02	8.994283e+02	6.163513e+02	4.623580e+01	8.776783e-04	3.937026e+00	1.334829e+00
9.134859e-03	1.639688e+02	8.994283e+02	6.163513e+02	4.623580e+01	8.776783e-04	2.472461e+00	7.855767e-01
9.134859e-03	1.639688e+02	8.994283e+02	6.163513e+02	4.623580e+01	8.776783e-04	2.472461e+00	1.334829e+00
9.134859e-03	1.639688e+02	4.411005e+02	1.251380e+03	6.008396e+01	7.197030e-04	2.639776e+00	1.318759e+00
9.134859e-03	1.639688e+02	3.699849e+02	1.251380e+03	6.008396e+01	7.197030e-04	2.639776e+00	1.318759e+00
9.134859e-03	1.639688e+02	4.411005e+02	7.600428e+02	6.008396e+01	7.197030e-04	2.639776e+00	1.318759e+00
9.134859e-03	1.639688e+02	4.411005e+02	1.251380e+03	9.382424e+00	7.197030e-04	2.639776e+00	1.318759e+00
9.134859e-03	1.639688e+02	4.411005e+02	1.251380e+03	6.008396e+01	7.247186e-04	2.639776e+00	1.318759e+00
9.134859e-03	1.639688e+02	4.411005e+02	1.251380e+03	6.008396e+01	7.197030e-04	3.254747e+00	1.318759e+00
9.134859e-03	1.639688e+02	4.411005e+02	1.251380e+03	6.008396e+01	7.197030e-04	2.639776e+00	4.528284e-01
9.134859e-03	1.639688e+02	4.411005e+02	7.600428e+02	9.382424e+00	7.247186e-04	3.254747e+00	4.528284e-01
9.134859e-03	1.639688e+02	3.699849e+02	1.251380e+03	9.382424e+00	7.247186e-04	3.254747e+00	4.528284e-01
9.134859e-03	1.639688e+02	3.699849e+02	7.600428e+02	6.008396e+01	7.247186e-04	3.254747e+00	4.528284e-01
9.134859e-03	1.639688e+02	3.699849e+02	7.600428e+02	9.382424e+00	7.197030e-04	3.254747e+00	4.528284e-01
9.134859e-03	1.639688e+02	3.699849e+02	7.600428e+02	9.382424e+00	7.247186e-04	2.639776e+00	4.528284e-01
