growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	[_'_c_e_l_l___r_u_l_e_'_,_ _1_,_ _5_]
1.314716e+00	2.982500e+02	4.191674e+02	1.330281e+03	1.959081e-01	3.735335e+00
1.114552e+00	2.784338e+02	4.191674e+02	1.330281e+03	4.447012e-01	1.158518e+00
1.114552e+00	2.784338e+02	4.191674e+02	7.902388e+02	1.959081e-01	1.158518e+00
1.114552e+00	2.784338e+02	8.337524e+02	1.330281e+03	1.959081e-01	1.158518e+00
1.114552e+00	2.784338e+02	8.337524e+02	7.902388e+02	4.447012e-01	1.158518e+00
1.314716e+00	2.982500e+02	8.337524e+02	7.902388e+02	1.959081e-01	3.735335e+00
1.114552e+00	2.784338e+02	8.337524e+02	7.902388e+02	1.959081e-01	1.158518e+00
1.314716e+00	2.982500e+02	8.854720e+02	8.753237e+02	5.020069e-02	1.817144e+00
1.314716e+00	2.982500e+02	3.216429e+01	8.753237e+02	5.020069e-02	1.817144e+00
1.314716e+00	2.982500e+02	8.854720e+02	1.476686e+03	5.020069e-02	1.817144e+00
1.314716e+00	2.982500e+02	8.854720e+02	8.753237e+02	4.241530e-01	1.817144e+00
1.314716e+00	2.982500e+02	8.854720e+02	8.753237e+02	5.020069e-02	2.216633e+00
1.314716e+00	2.982500e+02	8.854720e+02	1.476686e+03	4.241530e-01	2.216633e+00
1.314716e+00	2.982500e+02	3.216429e+01	8.753237e+02	4.241530e-01	2.216633e+00
1.314716e+00	2.982500e+02	3.216429e+01	1.476686e+03	5.020069e-02	2.216633e+00
1.314716e+00	2.982500e+02	3.216429e+01	1.476686e+03	4.241530e-01	1.817144e+00
1.314716e+00	2.982500e+02	3.216429e+01	1.476686e+03	4.241530e-01	2.216633e+00
1.311122e+00	2.978942e+02	9.465012e+02	1.207309e+03	4.749135e-01	1.003483e+00
1.311122e+00	2.978942e+02	9.230610e+02	1.207309e+03	4.749135e-01	1.003483e+00
1.311122e+00	2.978942e+02	9.465012e+02	1.283650e+03	4.749135e-01	1.003483e+00
1.311122e+00	2.978942e+02	9.465012e+02	1.207309e+03	1.429439e-01	1.003483e+00
1.314716e+00	2.982500e+02	9.465012e+02	1.207309e+03	4.749135e-01	3.649726e+00
1.314716e+00	2.982500e+02	9.465012e+02	1.283650e+03	1.429439e-01	3.649726e+00
1.314716e+00	2.982500e+02	9.230610e+02	1.207309e+03	1.429439e-01	3.649726e+00
1.314716e+00	2.982500e+02	9.230610e+02	1.283650e+03	4.749135e-01	3.649726e+00
1.311122e+00	2.978942e+02	9.230610e+02	1.283650e+03	1.429439e-01	1.003483e+00
1.314716e+00	2.982500e+02	9.230610e+02	1.283650e+03	1.429439e-01	3.649726e+00
1.314716e+00	2.982500e+02	4.839885e+02	5.060158e+02	8.019350e-02	2.554933e+00
1.314716e+00	2.982500e+02	2.461334e+02	5.060158e+02	8.019350e-02	2.554933e+00
1.314716e+00	2.982500e+02	4.839885e+02	9.720499e+02	8.019350e-02	2.554933e+00
1.314716e+00	2.982500e+02	4.839885e+02	5.060158e+02	3.646999e-01	2.554933e+00
1.113004e+00	2.782805e+02	4.839885e+02	5.060158e+02	8.019350e-02	7.212809e-01
1.113004e+00	2.782805e+02	4.839885e+02	9.720499e+02	3.646999e-01	7.212809e-01
1.113004e+00	2.782805e+02	2.461334e+02	5.060158e+02	3.646999e-01	7.212809e-01
1.113004e+00	2.782805e+02	2.461334e+02	9.720499e+02	8.019350e-02	7.212809e-01
1.314716e+00	2.982500e+02	2.461334e+02	9.720499e+02	3.646999e-01	2.554933e+00
1.113004e+00	2.782805e+02	2.461334e+02	9.720499e+02	3.646999e-01	7.212809e-01
1.170704e+00	2.839928e+02	2.156012e+02	1.449558e+03	2.938443e-01	1.588063e+00
1.170704e+00	2.839928e+02	4.376639e+02	1.449558e+03	2.938443e-01	1.588063e+00
1.170704e+00	2.839928e+02	2.156012e+02	6.522814e+02	2.938443e-01	1.588063e+00
1.170704e+00	2.839928e+02	2.156012e+02	1.449558e+03	1.704941e-01	1.588063e+00
1.225438e+00	2.894115e+02	2.156012e+02	1.449558e+03	2.938443e-01	1.262196e+00
1.225438e+00	2.894115e+02	2.156012e+02	6.522814e+02	1.704941e-01	1.262196e+00
1.225438e+00	2.894115e+02	4.376639e+02	1.449558e+03	1.704941e-01	1.262196e+00
1.225438e+00	2.894115e+02	4.376639e+02	6.522814e+02	2.938443e-01	1.262196e+00
1.170704e+00	2.839928e+02	4.376639e+02	6.522814e+02	1.704941e-01	1.588063e+00
1.225438e+00	2.894115e+02	4.376639e+02	6.522814e+02	1.704941e-01	1.262196e+00
1.314716e+00	2.982500e+02	7.480641e+02	7.795152e+02	2.366566e-01	3.903161e+00
1.314716e+00	2.982500e+02	7.404382e+02	7.795152e+02	2.366566e-01	3.903161e+00
1.314716e+00	2.982500e+02	7.480641e+02	1.088850e+03	2.366566e-01	3.903161e+00
1.314716e+00	2.982500e+02	7.480641e+02	7.795152e+02	3.933548e-01	3.903161e+00
1.314716e+00	2.982500e+02	7.480641e+02	7.795152e+02	2.366566e-01	2.323723e+00
1.314716e+00	2.982500e+02	7.480641e+02	1.088850e+03	3.933548e-01	2.323723e+00
1.314716e+00	2.982500e+02	7.404382e+02	7.795152e+02	3.933548e-01	2.323723e+00
1.314716e+00	2.982500e+02	7.404382e+02	1.088850e+03	2.366566e-01	2.323723e+00
1.314716e+00	2.982500e+02	7.404382e+02	1.088850e+03	3.933548e-01	3.903161e+00
1.314716e+00	2.982500e+02	7.404382e+02	1.088850e+03	3.933548e-01	2.323723e+00
1.314716e+00	2.982500e+02	5.177198e+02	1.288902e+03	1.465281e-01	3.367321e+00
1.314716e+00	2.982500e+02	5.993285e+02	1.288902e+03	1.465281e-01	3.367321e+00
1.314716e+00	2.982500e+02	5.177198e+02	1.387647e+03	1.465281e-01	3.367321e+00
1.314716e+00	2.982500e+02	5.177198e+02	1.288902e+03	2.673536e-01	3.367321e+00
1.314716e+00	2.982500e+02	5.177198e+02	1.288902e+03	1.465281e-01	1.915651e+00
1.314716e+00	2.982500e+02	5.177198e+02	1.387647e+03	2.673536e-01	1.915651e+00
1.314716e+00	2.982500e+02	5.993285e+02	1.288902e+03	2.673536e-01	1.915651e+00
1.314716e+00	2.982500e+02	5.993285e+02	1.387647e+03	1.465281e-01	1.915651e+00
1.314716e+00	2.982500e+02	5.993285e+02	1.387647e+03	2.673536e-01	3.367321e+00
1.314716e+00	2.982500e+02	5.993285e+02	1.387647e+03	2.673536e-01	1.915651e+00
1.225438e+00	2.894115e+02	5.525274e+01	9.899450e+02	4.270392e-01	1.188602e+00
1.114552e+00	2.784338e+02	2.967664e+02	9.899450e+02	4.270392e-01	1.188602e+00
1.225438e+00	2.894115e+02	5.525274e+01	8.260769e+02	4.270392e-01	1.188602e+00
1.225438e+00	2.894115e+02	5.525274e+01	9.899450e+02	4.938406e-01	1.188602e+00
1.314716e+00	2.982500e+02	5.525274e+01	9.899450e+02	4.270392e-01	2.977180e+00
1.314716e+00	2.982500e+02	5.525274e+01	8.260769e+02	4.938406e-01	2.977180e+00
1.314716e+00	2.982500e+02	2.967664e+02	9.899450e+02	4.938406e-01	2.977180e+00
1.314716e+00	2.982500e+02	2.967664e+02	8.260769e+02	4.270392e-01	2.977180e+00
1.114552e+00	2.784338e+02	2.967664e+02	8.260769e+02	4.938406e-01	1.188602e+00
1.314716e+00	2.982500e+02	2.967664e+02	8.260769e+02	4.938406e-01	2.977180e+00
1.314716e+00	2.982500e+02	2.541330e+02	1.062278e+03	1.869655e-01	2.221860e+00
1.314716e+00	2.982500e+02	1.063362e+02	1.062278e+03	1.869655e-01	2.221860e+00
1.314716e+00	2.982500e+02	2.541330e+02	5.521612e+02	1.869655e-01	2.221860e+00
1.314716e+00	2.982500e+02	2.541330e+02	1.062278e+03	7.102326e-02	2.221860e+00
1.314716e+00	2.982500e+02	2.541330e+02	1.062278e+03	1.869655e-01	3.058371e+00
1.314716e+00	2.982500e+02	2.541330e+02	5.521612e+02	7.102326e-02	3.058371e+00
1.314716e+00	2.982500e+02	1.063362e+02	1.062278e+03	7.102326e-02	3.058371e+00
1.314716e+00	2.982500e+02	1.063362e+02	5.521612e+02	1.869655e-01	3.058371e+00
1.314716e+00	2.982500e+02	1.063362e+02	5.521612e+02	7.102326e-02	2.221860e+00
1.314716e+00	2.982500e+02	1.063362e+02	5.521612e+02	7.102326e-02	3.058371e+00
2.308984e-01	1.908500e+02	7.866417e+02	7.320714e+02	3.549579e-01	2.768708e-01
2.308984e-01	1.908500e+02	7.830497e+02	7.320714e+02	3.549579e-01	2.768708e-01
2.308984e-01	1.908500e+02	7.866417e+02	1.238760e+03	3.549579e-01	2.768708e-01
2.308984e-01	1.908500e+02	7.866417e+02	7.320714e+02	2.964039e-01	2.768708e-01
7.208141e-02	1.751271e+02	7.866417e+02	7.320714e+02	3.549579e-01	1.299237e-01
