cross	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_membrane_membrane	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_membrane_attracted	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_attracted_membrane	cell_definitions/cell_definition/phenotype/motility/migration_bias_attracted	cell_definitions/cell_definition/phenotype/volume/total_attracted
0.000000e+00	3.753666e-01	3.108351e-01	3.897747e-01	5.397503e-02	4.541548e+03
0.000000e+00	1.524988e-01	5.573636e-01	3.897747e-01	5.397503e-02	4.541548e+03
0.000000e+00	1.524988e-01	3.108351e-01	2.352597e-01	5.397503e-02	4.541548e+03
1.000000e+00	1.524988e-01	3.108351e-01	3.897747e-01	4.441906e-01	4.541548e+03
0.000000e+00	1.524988e-01	3.108351e-01	3.897747e-01	5.397503e-02	5.215383e+03
1.000000e+00	1.524988e-01	5.573636e-01	2.352597e-01	4.441906e-01	5.215383e+03
1.000000e+00	3.753666e-01	3.108351e-01	2.352597e-01	4.441906e-01	5.215383e+03
0.000000e+00	3.753666e-01	5.573636e-01	3.897747e-01	4.441906e-01	5.215383e+03
0.000000e+00	3.753666e-01	5.573636e-01	2.352597e-01	5.397503e-02	5.215383e+03
0.000000e+00	3.753666e-01	5.573636e-01	2.352597e-01	4.441906e-01	4.541548e+03
1.000000e+00	3.753666e-01	5.573636e-01	2.352597e-01	4.441906e-01	5.215383e+03
1.000000e+00	3.276647e-01	7.729968e-01	5.531796e-01	5.783219e-01	5.119490e+03
1.000000e+00	9.604850e-02	7.729968e-01	5.531796e-01	5.783219e-01	5.119490e+03
1.000000e+00	3.276647e-01	3.144906e-01	5.531796e-01	5.783219e-01	5.119490e+03
1.000000e+00	3.276647e-01	7.729968e-01	2.966192e-01	5.783219e-01	5.119490e+03
0.000000e+00	3.276647e-01	7.729968e-01	5.531796e-01	3.853497e-02	5.119490e+03
1.000000e+00	3.276647e-01	7.729968e-01	5.531796e-01	5.783219e-01	4.451961e+03
0.000000e+00	3.276647e-01	3.144906e-01	2.966192e-01	3.853497e-02	4.451961e+03
0.000000e+00	9.604850e-02	7.729968e-01	2.966192e-01	3.853497e-02	4.451961e+03
0.000000e+00	9.604850e-02	3.144906e-01	5.531796e-01	3.853497e-02	4.451961e+03
1.000000e+00	9.604850e-02	3.144906e-01	2.966192e-01	5.783219e-01	4.451961e+03
0.000000e+00	9.604850e-02	3.144906e-01	2.966192e-01	3.853497e-02	5.119490e+03
0.000000e+00	9.604850e-02	3.144906e-01	2.966192e-01	3.853497e-02	4.451961e+03
0.000000e+00	9.603733e-01	9.184031e-02	6.158227e-02	4.056148e-01	3.189786e+03
1.000000e+00	8.496475e-01	9.184031e-02	6.158227e-02	4.056148e-01	3.189786e+03
1.000000e+00	9.603733e-01	8.120150e-01	6.158227e-02	4.056148e-01	3.189786e+03
1.000000e+00	9.603733e-01	9.184031e-02	8.573994e-01	4.056148e-01	3.189786e+03
0.000000e+00	9.603733e-01	9.184031e-02	6.158227e-02	9.254133e-01	3.189786e+03
1.000000e+00	9.603733e-01	9.184031e-02	6.158227e-02	4.056148e-01	3.864727e+03
0.000000e+00	9.603733e-01	8.120150e-01	8.573994e-01	9.254133e-01	3.864727e+03
0.000000e+00	8.496475e-01	9.184031e-02	8.573994e-01	9.254133e-01	3.864727e+03
0.000000e+00	8.496475e-01	8.120150e-01	6.158227e-02	9.254133e-01	3.864727e+03
1.000000e+00	8.496475e-01	8.120150e-01	8.573994e-01	4.056148e-01	3.864727e+03
0.000000e+00	8.496475e-01	8.120150e-01	8.573994e-01	9.254133e-01	3.189786e+03
0.000000e+00	8.496475e-01	8.120150e-01	8.573994e-01	9.254133e-01	3.864727e+03
0.000000e+00	9.000481e-01	6.391415e-01	5.990788e-01	8.947032e-02	5.477880e+03
0.000000e+00	8.900120e-01	6.391415e-01	5.990788e-01	8.947032e-02	5.477880e+03
0.000000e+00	9.000481e-01	6.238444e-02	5.990788e-01	8.947032e-02	5.477880e+03
0.000000e+00	9.000481e-01	6.391415e-01	7.312653e-01	8.947032e-02	5.477880e+03
1.000000e+00	9.000481e-01	6.391415e-01	5.990788e-01	5.101844e-01	5.477880e+03
0.000000e+00	9.000481e-01	6.391415e-01	5.990788e-01	8.947032e-02	4.862809e+03
1.000000e+00	9.000481e-01	6.238444e-02	7.312653e-01	5.101844e-01	4.862809e+03
1.000000e+00	8.900120e-01	6.391415e-01	7.312653e-01	5.101844e-01	4.862809e+03
1.000000e+00	8.900120e-01	6.238444e-02	5.990788e-01	5.101844e-01	4.862809e+03
0.000000e+00	8.900120e-01	6.238444e-02	7.312653e-01	8.947032e-02	4.862809e+03
1.000000e+00	8.900120e-01	6.238444e-02	7.312653e-01	5.101844e-01	5.477880e+03
1.000000e+00	8.900120e-01	6.238444e-02	7.312653e-01	5.101844e-01	4.862809e+03
0.000000e+00	2.512721e-01	4.452974e-01	1.055269e-01	8.954658e-01	3.545431e+03
0.000000e+00	1.358024e-01	4.452974e-01	1.055269e-01	8.954658e-01	3.545431e+03
0.000000e+00	2.512721e-01	5.648527e-01	1.055269e-01	8.954658e-01	3.545431e+03
0.000000e+00	2.512721e-01	4.452974e-01	1.704950e-01	8.954658e-01	3.545431e+03
1.000000e+00	2.512721e-01	4.452974e-01	1.055269e-01	4.048155e-01	3.545431e+03
0.000000e+00	2.512721e-01	4.452974e-01	1.055269e-01	8.954658e-01	4.121919e+03
1.000000e+00	2.512721e-01	5.648527e-01	1.704950e-01	4.048155e-01	4.121919e+03
1.000000e+00	1.358024e-01	4.452974e-01	1.704950e-01	4.048155e-01	4.121919e+03
1.000000e+00	1.358024e-01	5.648527e-01	1.055269e-01	4.048155e-01	4.121919e+03
0.000000e+00	1.358024e-01	5.648527e-01	1.704950e-01	8.954658e-01	4.121919e+03
1.000000e+00	1.358024e-01	5.648527e-01	1.704950e-01	4.048155e-01	3.545431e+03
1.000000e+00	1.358024e-01	5.648527e-01	1.704950e-01	4.048155e-01	4.121919e+03
1.000000e+00	2.059423e-01	9.826505e-01	9.583535e-01	4.878020e-01	4.123419e+03
1.000000e+00	3.527425e-01	9.826505e-01	9.583535e-01	4.878020e-01	4.123419e+03
1.000000e+00	2.059423e-01	3.074833e-01	9.583535e-01	4.878020e-01	4.123419e+03
1.000000e+00	2.059423e-01	9.826505e-01	3.611341e-01	4.878020e-01	4.123419e+03
0.000000e+00	2.059423e-01	9.826505e-01	9.583535e-01	1.241900e-01	4.123419e+03
1.000000e+00	2.059423e-01	9.826505e-01	9.583535e-01	4.878020e-01	3.044815e+03
0.000000e+00	2.059423e-01	3.074833e-01	3.611341e-01	1.241900e-01	3.044815e+03
0.000000e+00	3.527425e-01	9.826505e-01	3.611341e-01	1.241900e-01	3.044815e+03
0.000000e+00	3.527425e-01	3.074833e-01	9.583535e-01	1.241900e-01	3.044815e+03
1.000000e+00	3.527425e-01	3.074833e-01	3.611341e-01	4.878020e-01	3.044815e+03
0.000000e+00	3.527425e-01	3.074833e-01	3.611341e-01	1.241900e-01	4.123419e+03
0.000000e+00	3.527425e-01	3.074833e-01	3.611341e-01	1.241900e-01	3.044815e+03
1.000000e+00	5.723029e-01	1.638068e-01	4.649707e-01	5.594816e-01	4.810912e+03
1.000000e+00	6.068339e-01	1.638068e-01	4.649707e-01	5.594816e-01	4.810912e+03
1.000000e+00	5.723029e-01	8.196635e-01	4.649707e-01	5.594816e-01	4.810912e+03
1.000000e+00	5.723029e-01	1.638068e-01	8.003379e-01	5.594816e-01	4.810912e+03
0.000000e+00	5.723029e-01	1.638068e-01	4.649707e-01	9.802307e-01	4.810912e+03
1.000000e+00	5.723029e-01	1.638068e-01	4.649707e-01	5.594816e-01	4.960022e+03
0.000000e+00	5.723029e-01	8.196635e-01	8.003379e-01	9.802307e-01	4.960022e+03
0.000000e+00	6.068339e-01	1.638068e-01	8.003379e-01	9.802307e-01	4.960022e+03
0.000000e+00	6.068339e-01	8.196635e-01	4.649707e-01	9.802307e-01	4.960022e+03
1.000000e+00	6.068339e-01	8.196635e-01	8.003379e-01	5.594816e-01	4.960022e+03
0.000000e+00	6.068339e-01	8.196635e-01	8.003379e-01	9.802307e-01	4.810912e+03
0.000000e+00	6.068339e-01	8.196635e-01	8.003379e-01	9.802307e-01	4.960022e+03
1.000000e+00	7.457056e-01	8.125595e-01	1.408772e-01	7.099510e-01	4.345961e+03
1.000000e+00	8.020289e-01	8.125595e-01	1.408772e-01	7.099510e-01	4.345961e+03
1.000000e+00	7.457056e-01	4.457772e-01	1.408772e-01	7.099510e-01	4.345961e+03
1.000000e+00	7.457056e-01	8.125595e-01	4.540878e-01	7.099510e-01	4.345961e+03
0.000000e+00	7.457056e-01	8.125595e-01	1.408772e-01	2.256929e-01	4.345961e+03
1.000000e+00	7.457056e-01	8.125595e-01	1.408772e-01	7.099510e-01	3.758596e+03
0.000000e+00	7.457056e-01	4.457772e-01	4.540878e-01	2.256929e-01	3.758596e+03
0.000000e+00	8.020289e-01	8.125595e-01	4.540878e-01	2.256929e-01	3.758596e+03
0.000000e+00	8.020289e-01	4.457772e-01	1.408772e-01	2.256929e-01	3.758596e+03
1.000000e+00	8.020289e-01	4.457772e-01	4.540878e-01	7.099510e-01	3.758596e+03
0.000000e+00	8.020289e-01	4.457772e-01	4.540878e-01	2.256929e-01	4.345961e+03
0.000000e+00	8.020289e-01	4.457772e-01	4.540878e-01	2.256929e-01	3.758596e+03
0.000000e+00	9.711243e-02	9.309947e-03	6.496346e-01	2.749920e-01	3.661227e+03
0.000000e+00	4.794157e-02	9.309947e-03	6.496346e-01	2.749920e-01	3.661227e+03
1.000000e+00	9.711243e-02	9.276766e-01	6.496346e-01	2.749920e-01	3.661227e+03
0.000000e+00	9.711243e-02	9.309947e-03	8.932898e-01	2.749920e-01	3.661227e+03
0.000000e+00	9.711243e-02	9.309947e-03	6.496346e-01	8.632439e-01	3.661227e+03
0.000000e+00	9.711243e-02	9.309947e-03	6.496346e-01	2.749920e-01	4.265111e+03
0.000000e+00	9.711243e-02	9.276766e-01	8.932898e-01	8.632439e-01	4.265111e+03
0.000000e+00	4.794157e-02	9.309947e-03	8.932898e-01	8.632439e-01	4.265111e+03
0.000000e+00	4.794157e-02	9.276766e-01	6.496346e-01	8.632439e-01	4.265111e+03
0.000000e+00	4.794157e-02	9.276766e-01	8.932898e-01	2.749920e-01	4.265111e+03
0.000000e+00	4.794157e-02	9.276766e-01	8.932898e-01	8.632439e-01	3.661227e+03
0.000000e+00	4.794157e-02	9.276766e-01	8.932898e-01	8.632439e-01	4.265111e+03
0.000000e+00	4.227238e-01	5.315530e-01	2.816636e-01	8.739057e-01	3.072262e+03
1.000000e+00	4.562265e-01	5.315530e-01	2.816636e-01	8.739057e-01	3.072262e+03
1.000000e+00	4.227238e-01	2.004568e-01	2.816636e-01	8.739057e-01	3.072262e+03
1.000000e+00	4.227238e-01	5.315530e-01	5.760558e-01	8.739057e-01	3.072262e+03
1.000000e+00	4.227238e-01	5.315530e-01	2.816636e-01	6.429230e-01	3.072262e+03
0.000000e+00	4.227238e-01	5.315530e-01	2.816636e-01	8.739057e-01	5.421590e+03
1.000000e+00	4.227238e-01	2.004568e-01	5.760558e-01	6.429230e-01	5.421590e+03
0.000000e+00	4.562265e-01	5.315530e-01	5.760558e-01	6.429230e-01	5.421590e+03
1.000000e+00	4.562265e-01	2.004568e-01	2.816636e-01	6.429230e-01	5.421590e+03
0.000000e+00	4.562265e-01	2.004568e-01	5.760558e-01	8.739057e-01	5.421590e+03
1.000000e+00	4.562265e-01	2.004568e-01	5.760558e-01	6.429230e-01	3.072262e+03
1.000000e+00	4.562265e-01	2.004568e-01	5.760558e-01	6.429230e-01	5.421590e+03
0.000000e+00	7.892678e-01	3.533039e-01	7.901296e-01	1.733848e-01	5.001971e+03
0.000000e+00	7.104397e-01	3.533039e-01	7.901296e-01	1.733848e-01	5.001971e+03
0.000000e+00	7.892678e-01	6.726590e-01	7.901296e-01	1.733848e-01	5.001971e+03
0.000000e+00	7.892678e-01	3.533039e-01	1.528734e-02	1.733848e-01	5.001971e+03
0.000000e+00	7.892678e-01	3.533039e-01	7.901296e-01	2.565321e-01	5.001971e+03
0.000000e+00	7.892678e-01	3.533039e-01	7.901296e-01	1.733848e-01	3.584507e+03
0.000000e+00	7.892678e-01	6.726590e-01	1.528734e-02	2.565321e-01	3.584507e+03
0.000000e+00	7.104397e-01	3.533039e-01	1.528734e-02	2.565321e-01	3.584507e+03
0.000000e+00	7.104397e-01	6.726590e-01	7.901296e-01	2.565321e-01	3.584507e+03
0.000000e+00	7.104397e-01	6.726590e-01	1.528734e-02	1.733848e-01	3.584507e+03
0.000000e+00	7.104397e-01	6.726590e-01	1.528734e-02	2.565321e-01	5.001971e+03
0.000000e+00	7.104397e-01	6.726590e-01	1.528734e-02	2.565321e-01	3.584507e+03
1.000000e+00	7.619610e-01	5.186334e-01	8.912246e-02	6.175016e-01	4.031409e+03
1.000000e+00	6.608620e-03	5.186334e-01	8.912246e-02	6.175016e-01	4.031409e+03
1.000000e+00	7.619610e-01	9.897473e-01	8.912246e-02	6.175016e-01	4.031409e+03
1.000000e+00	7.619610e-01	5.186334e-01	6.001541e-01	6.175016e-01	4.031409e+03
1.000000e+00	7.619610e-01	5.186334e-01	8.912246e-02	4.300375e-01	4.031409e+03
1.000000e+00	7.619610e-01	5.186334e-01	8.912246e-02	6.175016e-01	5.265702e+03
1.000000e+00	7.619610e-01	9.897473e-01	6.001541e-01	4.300375e-01	5.265702e+03
0.000000e+00	6.608620e-03	5.186334e-01	6.001541e-01	4.300375e-01	5.265702e+03
1.000000e+00	6.608620e-03	9.897473e-01	8.912246e-02	4.300375e-01	5.265702e+03
1.000000e+00	6.608620e-03	9.897473e-01	6.001541e-01	6.175016e-01	5.265702e+03
1.000000e+00	6.608620e-03	9.897473e-01	6.001541e-01	4.300375e-01	4.031409e+03
1.000000e+00	6.608620e-03	9.897473e-01	6.001541e-01	4.300375e-01	5.265702e+03
0.000000e+00	3.953430e-01	3.384541e-01	5.802965e-01	4.289273e-01	4.601410e+03
1.000000e+00	7.525211e-01	3.384541e-01	5.802965e-01	4.289273e-01	4.601410e+03
1.000000e+00	3.953430e-01	3.828481e-01	5.802965e-01	4.289273e-01	4.601410e+03
1.000000e+00	3.953430e-01	3.384541e-01	3.591968e-02	4.289273e-01	4.601410e+03
1.000000e+00	3.953430e-01	3.384541e-01	5.802965e-01	5.436459e-01	4.601410e+03
1.000000e+00	3.953430e-01	3.384541e-01	5.802965e-01	4.289273e-01	3.352783e+03
1.000000e+00	3.953430e-01	3.828481e-01	3.591968e-02	5.436459e-01	3.352783e+03
1.000000e+00	7.525211e-01	3.384541e-01	3.591968e-02	5.436459e-01	3.352783e+03
1.000000e+00	7.525211e-01	3.828481e-01	5.802965e-01	5.436459e-01	3.352783e+03
1.000000e+00	7.525211e-01	3.828481e-01	3.591968e-02	4.289273e-01	3.352783e+03
1.000000e+00	7.525211e-01	3.828481e-01	3.591968e-02	5.436459e-01	4.601410e+03
1.000000e+00	7.525211e-01	3.828481e-01	3.591968e-02	5.436459e-01	3.352783e+03
0.000000e+00	6.980608e-02	8.626264e-01	4.799065e-01	9.534229e-01	5.257389e+03
0.000000e+00	7.194154e-01	8.626264e-01	4.799065e-01	9.534229e-01	5.257389e+03
0.000000e+00	6.980608e-02	7.350962e-01	4.799065e-01	9.534229e-01	5.257389e+03
0.000000e+00	6.980608e-02	8.626264e-01	4.956788e-01	9.534229e-01	5.257389e+03
1.000000e+00	6.980608e-02	8.626264e-01	4.799065e-01	9.503090e-01	5.257389e+03
0.000000e+00	6.980608e-02	8.626264e-01	4.799065e-01	9.534229e-01	3.804010e+03
0.000000e+00	6.980608e-02	7.350962e-01	4.956788e-01	9.503090e-01	3.804010e+03
0.000000e+00	7.194154e-01	8.626264e-01	4.956788e-01	9.503090e-01	3.804010e+03
0.000000e+00	7.194154e-01	7.350962e-01	4.799065e-01	9.503090e-01	3.804010e+03
0.000000e+00	7.194154e-01	7.350962e-01	4.956788e-01	9.534229e-01	3.804010e+03
0.000000e+00	7.194154e-01	7.350962e-01	4.956788e-01	9.503090e-01	5.257389e+03
0.000000e+00	7.194154e-01	7.350962e-01	4.956788e-01	9.503090e-01	3.804010e+03
0.000000e+00	7.183245e-01	5.744657e-02	9.707920e-01	3.041440e-02	3.442434e+03
0.000000e+00	4.736289e-01	5.744657e-02	9.707920e-01	3.041440e-02	3.442434e+03
0.000000e+00	7.183245e-01	1.378937e-01	9.707920e-01	3.041440e-02	3.442434e+03
0.000000e+00	7.183245e-01	5.744657e-02	9.314797e-01	3.041440e-02	3.442434e+03
0.000000e+00	7.183245e-01	5.744657e-02	9.707920e-01	8.785985e-02	3.442434e+03
0.000000e+00	7.183245e-01	5.744657e-02	9.707920e-01	3.041440e-02	4.547494e+03
0.000000e+00	7.183245e-01	1.378937e-01	9.314797e-01	8.785985e-02	4.547494e+03
0.000000e+00	4.736289e-01	5.744657e-02	9.314797e-01	8.785985e-02	4.547494e+03
0.000000e+00	4.736289e-01	1.378937e-01	9.707920e-01	8.785985e-02	4.547494e+03
0.000000e+00	4.736289e-01	1.378937e-01	9.314797e-01	3.041440e-02	4.547494e+03
