nbr_apoptosis	mean_pos_apop	epi_size	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	cell_rule_2_5	cell_rule_2_6
1.680000e+02	-2.141440e+01	3.980132e+01	9.346757e-04	3.766209e+00	4.867396e+00
9.000000e+01	-1.636414e+01	1.510701e+02	2.113666e-04	3.766209e+00	4.867396e+00
1.900000e+02	-2.731885e+01	4.598907e+01	9.346757e-04	3.286149e+00	4.867396e+00
1.800000e+02	-2.942536e+01	4.191661e+01	9.346757e-04	3.766209e+00	4.161128e+00
1.750000e+02	-2.873467e+01	4.490254e+01	9.346757e-04	3.286149e+00	4.161128e+00
1.100000e+02	-2.388108e+01	1.553638e+02	2.113666e-04	3.766209e+00	4.161128e+00
8.200000e+01	1.347787e+00	1.607811e+02	2.113666e-04	3.286149e+00	4.867396e+00
8.900000e+01	-8.564705e+00	1.577403e+02	2.113666e-04	3.286149e+00	4.161128e+00
1.340000e+02	-1.842640e+01	1.392374e+02	3.019865e-04	2.568518e+00	1.244538e+00
1.650000e+02	-2.209422e+01	3.836904e+01	9.486261e-04	2.568518e+00	1.244538e+00
6.800000e+01	-1.630814e+01	1.583173e+02	3.019865e-04	1.326039e+00	1.244538e+00
1.270000e+02	-7.795897e+00	1.416332e+02	3.019865e-04	2.568518e+00	1.099529e+00
9.000000e+01	-2.033974e+01	1.583945e+02	3.019865e-04	1.326039e+00	1.099529e+00
1.730000e+02	-3.383325e+01	4.232330e+01	9.486261e-04	2.568518e+00	1.099529e+00
1.790000e+02	-2.408288e+01	8.529780e+01	9.486261e-04	1.326039e+00	1.244538e+00
1.680000e+02	-2.786770e+01	8.006400e+01	9.486261e-04	1.326039e+00	1.099529e+00
5.300000e+01	-6.724901e+00	1.721164e+02	5.733328e-05	5.652837e+00	3.394765e+00
1.660000e+02	-2.858923e+01	8.070100e+01	3.884307e-04	5.652837e+00	3.394765e+00
1.100000e+01	-5.408799e+01	1.970265e+02	5.733328e-05	2.926653e+00	3.394765e+00
5.500000e+01	1.491901e+01	1.735691e+02	5.733328e-05	5.652837e+00	2.278703e+00
1.500000e+01	-3.002559e+01	1.908074e+02	5.733328e-05	2.926653e+00	2.278703e+00
1.760000e+02	-1.897070e+01	8.323333e+01	3.884307e-04	5.652837e+00	2.278703e+00
1.420000e+02	-3.709392e+01	1.453764e+02	3.884307e-04	2.926653e+00	3.394765e+00
1.400000e+02	-4.318198e+00	1.140896e+02	3.884307e-04	2.926653e+00	2.278703e+00
5.900000e+01	-3.962115e+01	1.666068e+02	6.723880e-04	1.408271e+00	2.521865e+00
7.000000e+01	-1.750171e+01	1.640846e+02	6.427789e-04	1.408271e+00	2.521865e+00
1.690000e+02	-1.199718e+01	3.384953e+01	6.723880e-04	4.698555e+00	2.521865e+00
3.600000e+01	-2.373143e+01	1.782135e+02	6.723880e-04	1.408271e+00	3.465273e+00
1.640000e+02	-1.775460e+01	7.332236e+01	6.723880e-04	4.698555e+00	3.465273e+00
2.400000e+01	1.736222e+01	1.765461e+02	6.427789e-04	1.408271e+00	3.465273e+00
1.530000e+02	-2.157833e+01	5.429550e+01	6.427789e-04	4.698555e+00	2.521865e+00
1.720000e+02	-1.859758e+01	5.406278e+01	6.427789e-04	4.698555e+00	3.465273e+00
1.650000e+02	-1.747854e+01	6.766483e+01	5.426093e-04	4.676593e+00	1.599104e+00
1.540000e+02	-1.800121e+01	1.087774e+02	5.311995e-04	4.676593e+00	1.599104e+00
1.650000e+02	-2.404697e+01	5.729021e+01	5.426093e-04	5.284009e+00	1.599104e+00
1.690000e+02	-1.474228e+01	5.575537e+01	5.426093e-04	4.676593e+00	4.510226e+00
1.810000e+02	-1.784989e+01	5.551300e+01	5.426093e-04	5.284009e+00	4.510226e+00
1.730000e+02	-2.153212e+01	5.656887e+01	5.311995e-04	4.676593e+00	4.510226e+00
1.540000e+02	-2.776858e+01	9.178600e+01	5.311995e-04	5.284009e+00	1.599104e+00
1.610000e+02	-2.746969e+01	4.209608e+01	5.311995e-04	5.284009e+00	4.510226e+00
0.000000e+00		1.958478e+02	1.596815e-04	2.503748e-01	4.475729e+00
0.000000e+00		1.961222e+02	2.541686e-04	2.503748e-01	4.475729e+00
1.000000e+01	-6.928910e+01	1.953825e+02	1.596815e-04	2.011698e+00	4.475729e+00
4.000000e+00	-3.131975e+01	1.923237e+02	1.596815e-04	2.503748e-01	1.698658e+00
4.500000e+01	-3.569206e+01	1.739621e+02	1.596815e-04	2.011698e+00	1.698658e+00
6.000000e+00	-2.280496e+01	1.906624e+02	2.541686e-04	2.503748e-01	1.698658e+00
1.500000e+01	-5.664578e+01	1.746867e+02	2.541686e-04	2.011698e+00	4.475729e+00
8.300000e+01	-1.613268e+01	1.546959e+02	2.541686e-04	2.011698e+00	1.698658e+00
1.570000e+02	-2.326268e+01	1.165018e+02	4.220795e-04	3.516528e+00	2.134220e+00
1.840000e+02	-2.312417e+01	4.295923e+01	8.185047e-04	3.516528e+00	2.134220e+00
7.000000e+00	9.448284e+00	1.928003e+02	4.220795e-04	4.123667e-01	2.134220e+00
1.540000e+02	-2.645218e+00	9.593561e+01	4.220795e-04	3.516528e+00	2.925668e+00
0.000000e+00		1.961345e+02	4.220795e-04	4.123667e-01	2.925668e+00
1.820000e+02	-1.733931e+01	3.937904e+01	8.185047e-04	3.516528e+00	2.925668e+00
